Total Population,Female Population,Male Population,Birth Rate,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Male life expectancy,Female life expectancy ,"School enrollment, primary","School enrollment, tertiary",Primary completion rate,Year,Country
16418912.0,8199445.0,8219467.0,52.073,14.092,8.913544668587896,10.10013,63.88614,85.21585,10.48767,8.26,445785076688.7175,1.1851792829892964,-285684168.98283684,31713744021.113472,3671.529454986526,31.8,78.3627517306781,51.039,54.087,49.6983299255371,33.21782297364581,93.34517165078628,1995,Afghanistan
2780469.0,1530390.0,1250079.0,20.700378250591015,6.343086682427107,12.0,21.36863953196527,28.950358508050513,31.756572870402525,12.925650460931333,12.557,19502783987.8807,1.1851792829892964,-848614886.484621,2021341611.77038,3671.529454986526,20.82783034257749,78.3627517306781,68.71925216706067,74.08075886524823,92.9023818969727,59.8064498901367,92.1473693847656,2022,Armenia
2790974.0,1534476.0,1256498.0,12.049,13.007,12.0,17.53141,30.28259,33.56205,10.23657,12.729,13861409968.835,1.1851792829892964,-406357747.781726,1571534231.89154,3671.529454986526,20.82783034257749,78.3627517306781,66.554,77.35,93.8099975585938,58.7563095092773,100.631843566895,2021,Armenia
2805608.0,1540096.0,1265512.0,12.455,12.792,12.0,17.14297,30.80131,33.93269,10.31673,12.18,12641698593.7908,-8.66535157469164,-196251252.332186,1434808158.73513,3671.529454986526,8.38,78.3627517306781,67.051,76.996,96.6205673217773,53.3061294555664,101.986747741699,2020,Armenia
2820602.0,1545835.0,1274767.0,12.892,9.662,12.0,17.0539,29.90575,33.23834,9.888021,12.2,13619290545.8131,6.20371526403905,179704242.650048,1569706413.58205,3671.529454986526,10.34,78.3627517306781,70.403,79.856,97.3231430053711,53.3068199157715,97.2270965576172,2019,Armenia
2836557.0,1551562.0,1284995.0,13.307,9.75,12.0,16.82781,30.64513,34.17381,9.581635,13.21,12457940705.3088,4.70741173134668,200340489.204987,1736924918.98091,3671.529454986526,11.13,78.3627517306781,69.992,79.601,100.061309814453,56.1650505065918,100.23706817627,2018,Armenia
2851923.0,1556899.0,1295024.0,13.606,9.664,12.0,16.70863,31.34356,35.02524,9.294903,12.944,11527458712.6187,10.8916464595762,405555183.736284,1728457145.08875,3671.529454986526,12.56,78.3627517306781,69.92,79.381,101.619812011719,53.5907592773438,102.763427734375,2017,Armenia
2865835.0,1561467.0,1304368.0,14.504,9.634,12.0,15.78447,33.59874,37.15694,8.324924,12.426,10546136240.3952,-1.02516548783251,245059601.385283,1728561669.32574,3671.529454986526,13.15,78.3627517306781,69.673,79.203,103.061706542969,51.7460098266602,105.009422302246,2016,Armenia
2878595.0,1565465.0,1313130.0,14.641,9.607,12.0,15.91051,35.32888,40.19437,7.959039,12.177,10553337527.7745,-1.02245557201768,428407517.943443,1817613989.7702,3671.529454986526,10.74,78.3627517306781,69.595,78.833,102.382690429688,45.4674301147461,94.2263793945312,2015,Armenia
2889930.0,1568781.0,1321149.0,15.842,9.704,12.0,16.72849,34.82585,40.5717,8.55197,11.862,11609513241.0754,1.63364539040616,522216022.746102,2098075452.64461,1976.86449152748,7.08,74.5618657137382,69.236,78.498,100.915573120117,44.411018371582,94.6037063598633,2014,Armenia
2901385.0,1572193.0,1329192.0,15.055,9.813,12.0,17.00267,36.27645,44.49667,6.976226,11.531,11121464429.703,3.92410518281625,682546974.642242,2050215596.78818,1928.7340356416,6.77,75.4928438218553,69.062,77.913,99.3458786010742,41.6240310668945,93.34517165078628,2013,Armenia
2914421.0,1576538.0,1337883.0,15.094,9.761,12.0,17.6793,37.25019,43.90857,7.920815,11.298,10619320692.8087,13.6441182180016,423036162.549895,1902205141.23367,1872.41307964772,6.56,77.3329432877543,69.037,77.483,96.4941024780273,41.4842185974121,93.5642013549805,2012,Armenia
2928976.0,1581404.0,1347572.0,14.046,9.559,11.0,16.68366,38.92911,45.67503,6.746448,10.917,10142111812.3665,3.29416541880975,360073591.553083,31713744021.113472,1774.68166348922,8.01,71.549929885755,68.613,77.713,96.5201721191406,47.8231010437012,93.4741592407227,2011,Armenia
2946293.0,1587222.0,1359071.0,13.898,9.384,10.0,17.41351,38.59638,47.17285,6.310471,10.542,9260285762.09704,2.21093155799149,458281240.706407,31713744021.113472,1685.84726637846,9.36,67.4011084886,68.597,77.437,96.6795196533203,47.7453117370605,91.5400009155273,2010,Armenia
2964296.0,1593246.0,1371050.0,14.255,9.356,10.0,17.07955,39.45403,45.94915,5.768989,9.894,8647937090.63389,-21.4495896381149,358781515.594797,31713744021.113472,1618.59679330269,7.8,68.205458300287,68.242,77.149,105.322792053223,47.3799514770508,93.34517165078628,2009,Armenia
2983421.0,1599812.0,1383609.0,13.038,9.387,10.0,18.84927,38.27179,44.87653,7.042075,9.997,11662040703.8916,10.0464333534658,691280287.24091,31713744021.113472,1626.99129623342,6.4,73.2861329083986,67.995,76.572,107.106376647949,45.9996299743652,98.6576766967773,2008,Armenia
3004393.0,1607400.0,1396993.0,12.578,9.117,10.0,19.52978,37.62118,44.45932,8.204712,9.81,9206301264.17572,17.7468443982732,497420802.783537,31713744021.113472,1730.7988668593,7.02,70.5525640010011,68.08,76.322,106.073532104492,44.433708190918,96.7462768554688,2007,Armenia
3026486.0,1615570.0,1410916.0,11.759,9.063,10.0,18.67386,39.27095,44.37073,8.652855,10.001,6384452070.74171,15.4133371958251,302026902.300841,31713744021.113472,1602.84898063298,7.65,67.4958082381311,67.743,76.011,95.9769287109375,41.8117218017578,92.0257110595703,2006,Armenia
3047246.0,1623110.0,1424136.0,13.033,8.914,10.0,17.86404,40.8853,44.07862,9.203305,10.218,4900469515.07252,15.5705609994385,206006379.536172,31713744021.113472,1488.55720870583,6.49,68.0984178691466,67.596,75.781,93.726318359375,38.3384399414062,93.4663162231445,2005,Armenia
3065745.0,1629806.0,1435939.0,12.822,8.919,10.0,17.21499,42.51967,43.74783,9.776159,10.347,3576615240.41616,10.9989901510186,148352246.883494,31713744021.113472,1409.77152372425,8.71,66.9014276132531,67.494,75.116,94.7377319335938,37.0803489685059,100.005928039551,2004,Armenia
3084102.0,1636479.0,1447623.0,12.482,8.573,10.0,17.18406,43.82552,43.29369,10.57644,10.625,2807061008.69084,20.6529150042977,92875458.8178378,31713744021.113472,1292.11031282364,9.81,65.7106212999384,67.306,75.375,93.5719833374023,36.6645317077637,86.7742309570312,2003,Armenia
3105037.0,1644188.0,1460849.0,12.19,8.593,10.0,16.97397,45.26392,42.79052,11.3543,10.81,2376335048.39976,15.8221990572174,82371299.5552455,31713744021.113472,1208.03713450113,8.9,61.8060966393765,67.124,74.707,90.6743011474609,35.8594512939453,83.7433776855469,2002,Armenia
